player_id,match_id,match_date,pass_accuracy,duel_win_rate,shot_success_rate,hist_pass_accuracy,hist_duel_win_rate,hist_shot_success_rate,days_since_last_match,total_games_played,total_events,fatigue_cluster,overall_performance
2956.0,3754264,2016-02-13,0.2857142857142857,0.023809523809523808,0.047619047619047616,0.5,0.0,0.0,70.0,2,42,2,0.35714285714285715
2956.0,3754280,2016-03-01,0.38333333333333336,0.03333333333333333,0.05,0.39285714285714285,0.011904761904761904,0.023809523809523808,17.0,3,60,1,0.4666666666666667
2956.0,3754061,2016-03-05,0.43243243243243246,0.05405405405405406,0.05405405405405406,0.3896825396825397,0.019047619047619046,0.03253968253968254,4.0,4,37,1,0.5405405405405406
2956.0,3753973,2016-03-19,0.4166666666666667,0.0,0.041666666666666664,0.36716001716001717,0.037065637065637064,0.050557700557700556,14.0,5,24,1,0.45833333333333337
2956.0,3754116,2016-04-09,0.4,0.0,0.0,0.41081081081081083,0.029129129129129128,0.04857357357357358,21.0,6,35,1,0.4
2956.0,3754322,2016-04-16,0.4,0.0,0.02857142857142857,0.4163663663663664,0.018018018018018018,0.0319069069069069,7.0,7,35,1,0.4285714285714286
2956.0,3754108,2016-05-07,0.375,0.125,0.0625,0.4055555555555556,0.0,0.023412698412698413,21.0,8,16,1,0.5625
2956.0,3754055,2016-05-11,0.25333333333333335,0.02666666666666667,0.05333333333333334,0.39166666666666666,0.041666666666666664,0.03035714285714286,4.0,9,75,1,0.33333333333333337
2956.0,3754229,2016-05-15,0.3055555555555556,0.027777777777777776,0.08333333333333333,0.3427777777777778,0.050555555555555555,0.04813492063492064,4.0,10,36,1,0.4166666666666667
2966.0,3754245,2015-10-17,0.2846153846153846,0.007692307692307693,0.007692307692307693,0.31416666666666665,0.07583333333333334,0.05791666666666668,7.0,1,130,1,0.29999999999999993
2966.0,3754133,2015-10-24,0.3465346534653465,0.0594059405940594,0.0,0.26897435897435895,0.017179487179487182,0.03051282051282052,7.0,2,101,1,0.4059405940594059
2966.0,3754006,2015-10-31,0.484375,0.03125,0.0,0.31557501904036556,0.03354912414318355,0.0038461538461538533,7.0,3,64,1,0.515625
2966.0,3754297,2015-11-07,0.2988505747126437,0.034482758620689655,0.0,0.3718416793602437,0.03278274942878903,0.002564102564102569,7.0,4,87,1,0.33333333333333337
2966.0,3754301,2015-11-21,0.2727272727272727,0.03636363636363636,0.01818181818181818,0.37658674272599674,0.04171289973824969,0.0,14.0,5,55,1,0.32727272727272727
2966.0,3754235,2015-11-29,0.2571428571428571,0.0,0.02857142857142857,0.35198428247997215,0.034032131661442006,0.006060606060606065,8.0,6,35,1,0.2857142857142857
2966.0,3754215,2015-12-05,0.3125,0.020833333333333332,0.0,0.2762402348609245,0.023615464994775338,0.01558441558441559,6.0,7,48,1,0.3333333333333333
2966.0,3754219,2015-12-19,0.23255813953488372,0.046511627906976744,0.0,0.28079004329004326,0.019065656565656564,0.01558441558441559,14.0,8,43,1,0.27906976744186046
2966.0,3754279,2015-12-26,0.358974358974359,0.02564102564102564,0.0,0.2674003322259136,0.022448320413436692,0.009523809523809528,7.0,9,39,1,0.38461538461538464
2966.0,3754195,2015-12-28,0.35570469798657717,0.03355704697986577,0.0,0.3013441661697475,0.03099532896044524,0.0,2.0,10,149,0,0.38926174496644295
2966.0,3754122,2016-01-02,0.2857142857142857,0.008928571428571428,0.008928571428571428,0.3157457321652733,0.03523656684262272,0.0,5.0,11,112,1,0.3035714285714286
2966.0,3754062,2016-01-13,0.37037037037037035,0.037037037037037035,0.0,0.33346444755840726,0.022708881349820947,0.002976190476190481,11.0,12,27,1,0.4074074074074074
2966.0,3754168,2016-01-16,0.39436619718309857,0.014084507042253521,0.028169014084507043,0.3372631180237444,0.02650755181515808,0.002976190476190481,3.0,13,71,1,0.43661971830985913
2966.0,3754084,2016-01-23,0.25675675675675674,0.013513513513513514,0.02702702702702703,0.35015028442258483,0.020016705169287326,0.012365861837692829,7.0,14,74,1,0.2972972972972973
2966.0,3754340,2016-02-02,0.32558139534883723,0.023255813953488372,0.03488372093023256,0.34049777477007526,0.021545019197601354,0.018398680370511362,10.0,15,86,1,0.38372093023255816
2966.0,3754350,2016-02-13,0.29411764705882354,0.029411764705882353,0.0,0.3255681164295641,0.0169512781697518,0.030026587347255548,11.0,16,68,1,0.3235294117647059
2966.0,3754236,2016-02-27,0.32673267326732675,0.009900990099009901,0.009900990099009901,0.29215193305480586,0.02206036405762808,0.020636915985753197,14.0,17,101,0,0.34653465346534656
2966.0,3754231,2016-03-01,0.3076923076923077,0.057692307692307696,0.009615384615384616,0.31547723855832915,0.02085618958612687,0.01492823700974749,3.0,18,104,0,0.37500000000000006
2966.0,3754081,2016-03-06,0.3372093023255814,0.0,0.023255813953488372,0.30951420933948603,0.03233502083239998,0.006505458238131511,5.0,19,86,0,0.36046511627906974
2966.0,3754052,2016-03-19,0.3023255813953488,0.046511627906976744,0.011627906976744186,0.32387809442840526,0.02253109926377253,0.014257396222627635,13.0,20,86,0,0.36046511627906974
2966.0,3754035,2016-04-09,0.3473684210526316,0.031578947368421054,0.031578947368421054,0.31574239713774593,0.03473464519976147,0.014833035181872395,21.0,21,95,0,0.4105263157894737
2966.0,3754155,2016-04-16,0.35384615384615387,0.007692307692307693,0.03076923076923077,0.32896776825785395,0.026030191758465927,0.02215422276621788,7.0,22,130,0,0.39230769230769236
2966.0,3754284,2016-04-21,0.3541666666666667,0.125,0.0,0.33451338543137804,0.028594294322568492,0.024658695038132006,5.0,23,48,0,0.4791666666666667
